id	original_title	popularity	fetched	budget	imdb_id	original_language	overview	poster_path	release_date	revenue	runtime	vote_average	vote_count	imdb_vote_average	imdb_vote_count	weighted_rating
15	"Citizen Kane"	20.961	true	839727	"tt0033467"	"en"	"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."	"/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg"	"1941-04-17"	23218000	119	8.0	4717	8.3	457824	153.4
16	"Dancer in the Dark"	15.123	true	12800000	"tt0168629"	"en"	"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings."	"/uXvyCRpoTRLSEia59Yj7nAZOSej.jpg"	"2000-06-30"	40031879	141	7.9	1501	7.9	114655	132.9
17	"The Dark"	11.029	true	0	"tt0411267"	"en"	"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld."	"/wZeBHVnCvaS2bwkb8jFQ0PwZwXq.jpg"	"2005-09-28"	6593579	87	5.8	225	5.3	11300	74.9
18	"The Fifth Element"	56.083	true	90000000	"tt0119116"	"en"	"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity."	"/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg"	"1997-05-02"	263920180	126	7.5	9428	7.6	494138	143.0
19	"Metropolis"	21.906	true	1300000	"tt0017136"	"de"	"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences."	"/hUK9rewffKGqtXynH5SW3v9hzcu.jpg"	"1927-02-06"	650422	149	8.2	2243	8.3	181583	144.3
20	"My Life Without Me"	10.463	true	2500000	"tt0314412"	"en"	"A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness."	"/sFSkn5rrQqXJkRNa2rMWqzmEuhR.jpg"	"2003-03-07"	12300000	106	5.9	396	7.4	25644	97.5
21	"The Endless Summer"	12.873	true	0	"tt0060371"	"en"	"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer."	"/5W5uaqQ7NZTwoDMKO4AtdcahHex.jpg"	"1966-06-15"	0	91	7.4	88	7.6	6097	94.5
22	"Pirates of the Caribbean: The Curse of the Black Pearl"	109.932	true	140000000	"tt0325980"	"en"	"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her."	"/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg"	"2003-07-09"	655011224	143	7.8	18340	8.1	1179738	160.5
24	"Kill Bill: Vol. 1"	33.039	true	30000000	"tt0266697"	"en"	"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance."	"/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg"	"2003-10-10"	180906076	111	8.0	15404	8.2	1163753	163.4
25	"Jarhead"	23.268	true	72000000	"tt0418763"	"en"	"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases."	"/55WJCdayHwoXJwRv3prpqscHt2q.jpg"	"2005-11-04"	97076152	123	6.6	2457	7.0	201755	120.0
26	"LaLehet Al HaMayim"	5.908	true	1400000	"tt0352994"	"he"	"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values."	"/iJG6gNeEHlgrIvYkfyaB3IR6NKo.jpg"	"2004-02-05"	444	103	6.9	72	7.3	7000	90.8
27	"9 Songs"	25.293	true	1000000	"tt0411705"	"en"	"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs."	"/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg"	"2004-05-16"	1574623	69	5.7	429	4.8	23553	76.4
28	"Apocalypse Now"	34.508	true	31500000	"tt0078788"	"en"	"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."	"/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg"	"1979-08-15"	150000000	147	8.3	6989	8.4	694850	162.2
33	"Unforgiven"	23.567	true	14400000	"tt0105695"	"en"	"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."	"/yKyLJmRAtyXEEYKOvPhKHXIcPq9.jpg"	"1992-08-07"	159157447	130	7.9	3685	8.2	427800	150.7
35	"The Simpsons Movie"	63.203	true	75000000	"tt0462538"	"en"	"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."	"/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg"	"2007-07-25"	527068851	87	7.0	7094	7.3	344200	131.7
38	"Eternal Sunshine of the Spotless Mind"	66.629	true	20000000	"tt0338013"	"en"	"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."	"/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg"	"2004-03-19"	72258126	108	8.1	12986	8.3	1050766	164.2
55	"Amores perros"	26.121	true	2000000	"tt0245712"	"es"	"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog."	"/vV4vlD4ool5JSsS1rB82qjCF6z8.jpg"	"2000-06-16"	20908467	154	7.6	2178	8.1	249223	140.8
58	"Pirates of the Caribbean: Dead Man's Chest"	86.401	true	200000000	"tt0383574"	"en"	"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation."	"/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg"	"2006-07-06"	1065659812	150	7.3	14183	7.4	750627	143.7
59	"A History of Violence"	17.091	true	32000000	"tt0399146"	"en"	"An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner."	"/rrc6GiAKHDrUjp8OmdVng9hRWBn.jpg"	"2005-09-23"	60740827	96	7.2	2732	7.4	248651	131.0
62	"2001: A Space Odyssey"	39.133	true	12000000	"tt0062622"	"en"	"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."	"/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg"	"1968-04-02"	71923560	149	8.1	9907	8.3	701781	159.4
63	"Twelve Monkeys"	36.467	true	29000000	"tt0114746"	"en"	"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."	"/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg"	"1995-12-29"	168841459	129	7.6	7276	8.0	637005	150.5
64	"Hable con ella"	11.998	true	0	"tt0287467"	"es"	"Two men share an odd friendship while they care for two women who are both in deep comas."	"/p8ilqBhIT5YnKOf6hBPEVPc8uGS.jpg"	"2002-03-15"	64803131	112	7.6	1073	7.9	116150	130.5
65	"8 Mile"	39.040	true	41000000	"tt0298203"	"en"	"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance."	"/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg"	"2002-11-08"	242875078	111	7.1	6286	7.2	311075	130.7
66	"Absolute Power"	15.908	true	50000000	"tt0118548"	"en"	"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President."	"/xX9gmwtnTi0Y8WcTF7Jsg9Hdp6W.jpg"	"1997-02-14"	50068310	121	6.6	886	6.7	58813	105.5
67	"Paradise Now"	7.761	true	2000000	"tt0445620"	"en"	"Two childhood friends are recruited for a suicide bombing in Tel Aviv."	"/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg"	"2005-09-07"	3395627	90	6.9	207	7.4	23831	104.1
68	"Brazil"	21.339	true	15000000	"tt0088846"	"en"	"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies."	"/d0PibPzCK4fVikjoD1PqHovbvkt.jpg"	"1985-02-20"	9900000	143	7.7	2854	7.9	207943	137.9
69	"Walk the Line"	17.421	true	28000000	"tt0358273"	"en"	"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins."	"/aoCEDrShD4g5ZsZwiMCpRWJVeG3.jpg"	"2005-09-13"	186797986	136	7.5	2472	7.8	261171	137.8
70	"Million Dollar Baby"	35.476	true	30000000	"tt0405159"	"en"	"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her."	"/mVqE0CaURUkiIXzHPOLVbTjAXFy.jpg"	"2004-12-15"	216763646	132	8.0	8406	8.1	709568	156.6
71	"Billy Elliot"	24.997	true	5000000	"tt0249462"	"en"	"County Durham England 1984 the miners strike has started and the police have started coming up from Bethnal Green starting a class war with the lower classes suffering caught in the middle of the conflict is 11-year old Billy Elliot who after leaving his boxing club for the day stubbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs Wilkinson for an upcoming audition in Newcastle-upon Tyne the audition is for the royal Ballet school in London."	"/nOr5diUZxphmAD3li9aiILyI28F.jpg"	"2000-09-28"	109280263	110	7.6	3398	7.7	140221	131.1
73	"American History X"	30.202	true	20000000	"tt0120586"	"en"	"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."	"/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg"	"1998-07-01"	23875127	119	8.4	10127	8.5	1162974	170.4
74	"War of the Worlds"	39.721	true	132000000	"tt0407304"	"en"	"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down."	"/6Biy7R9LfumYshur3YKhpj56MpB.jpg"	"2005-06-28"	603873119	117	6.5	7300	6.5	466861	122.6
75	"Mars Attacks!"	24.418	true	70000000	"tt0116996"	"en"	"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation."	"/hll4O5vSAfnZDb6JbnP06GPtz7b.jpg"	"1996-12-12"	101371017	106	6.4	4769	6.4	238645	114.5
76	"Before Sunrise"	22.005	true	2500000	"tt0112471"	"en"	"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other."	"/aZ2Vkrc4RqIjewYbmfy74oDgZfX.jpg"	"1995-01-27"	5987386	101	8.0	3426	8.1	329477	147.7
77	"Memento"	40.921	true	9000000	"tt0209144"	"en"	"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why."	"/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg"	"2000-10-11"	39723096	113	8.2	12965	8.4	1292728	168.6
78	"Blade Runner"	40.951	true	28000000	"tt0083658"	"en"	"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."	"/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg"	"1982-06-25"	41722424	118	7.9	12104	8.1	803811	157.1
79	"英雄"	22.650	true	31000000	"tt0299977"	"zh"	"One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China."	"/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg"	"2002-07-22"	177394432	99	7.5	1910	7.9	185876	134.9
80	"Before Sunset"	22.324	true	2700000	"tt0381681"	"en"	"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more."	"/gycdE1ARByGQcK4fYR2mgpU6OO.jpg"	"2004-02-10"	15992615	80	7.8	2849	8.1	280611	144.0
81	"風の谷のナウシカ"	27.332	true	1000000	"tt0087544"	"ja"	"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth."	"/sIpcATxMrKHRRUJAGI5UIUT7XMG.jpg"	"1984-03-11"	3301446	117	7.9	2949	8.0	177442	138.8
82	"Miami Vice"	20.186	true	135000000	"tt0430357"	"en"	"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves."	"/3U9amX6UaKF8WE8vR57ruTuiP9X.jpg"	"2006-07-27"	163794509	132	6.0	1486	6.0	121799	101.5
83	"Open Water"	16.416	true	130000	"tt0374102"	"en"	"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them..."	"/xOjcaWBNG2PvylJOhlkaqaAAKUr.jpg"	"2004-08-06"	54667954	79	5.5	923	5.8	55874	89.2
85	"Raiders of the Lost Ark"	48.644	true	18000000	"tt0082971"	"en"	"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."	"/ceG9VzoRAVGwivFU403Wc3AHRys.jpg"	"1981-06-12"	389925971	115	7.9	10659	8.4	1016800	162.8
86	"Elementarteilchen"	6.816	true	6000000	"tt0430051"	"de"	"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again."	"/wpGpR7GewyApPgqPvuWadBAfmFc.jpg"	"2006-02-10"	0	105	6.2	112	6.6	8253	83.4
87	"Indiana Jones and the Temple of Doom"	35.702	true	28000000	"tt0087469"	"en"	"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."	"/3CUUdNP7bHvJ7UT2MiG9iDKIRdu.jpg"	"1984-05-23"	333000000	118	7.3	7846	7.5	524239	140.8
88	"Dirty Dancing"	24.812	true	6000000	"tt0092890"	"en"	"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."	"/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg"	"1987-08-21"	214577242	100	7.3	5376	7.0	248562	128.4
89	"Indiana Jones and the Last Crusade"	47.886	true	48000000	"tt0097576"	"en"	"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!"	"/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg"	"1989-05-24"	474171806	127	7.8	8615	8.2	794640	156.9
90	"Beverly Hills Cop"	23.230	true	14000000	"tt0086960"	"en"	"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure."	"/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg"	"1984-12-05"	316360478	105	7.2	3427	7.4	195266	128.5
91	"Las Hurdes"	6.252	true	0	"tt0023037"	"es"	"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)"	"/iQM715v277SIw66Y1bJ1KiK5WNx.jpg"	"1933-12-01"	0	29	7.1	122	7.3	6132	90.8
92	"Megacities"	2.509	true	0	"tt0169024"	"en"	"Megacities is a documentary about the slums of five different metropolitan cities."	"/qO48XLCG58cICOgAR57ao0PrJ6A.jpg"	"1998-08-12"	0	94	6.9	17	7.4	1003	71.5
93	"Anatomy of a Murder"	12.910	true	2000000	"tt0052561"	"en"	"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."	"/zMxLbSPpToTCc6yK2Gddhx6nHNN.jpg"	"1959-07-01"	8000000	161	7.9	774	8.0	69671	128.0
94	"Kunstgriff"	1.199	true	0	"tt0436488"	"de"	"Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film."	"/82CFTXepfmETr2C4n7ZlrpLyjAx.jpg"	"2002-01-01"	0	6	8.5	2	6.9	35	40.1
95	"Armageddon"	45.971	true	140000000	"tt0120591"	"en"	"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise."	"/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg"	"1998-07-01"	553799566	151	6.8	6963	6.7	442815	126.8
96	"Beverly Hills Cop II"	22.501	true	28000000	"tt0092644"	"en"	"Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on."	"/egDakU8O5yUwpUJP9IMAUVtIDll.jpg"	"1987-05-18"	299965036	103	6.5	2020	6.5	126558	110.3
97	"Tron"	33.121	true	17000000	"tt0084827"	"en"	"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment."	"/zwSFEczP7AzqugAHHIX3zHniT0t.jpg"	"1982-07-09"	33000000	96	6.7	1908	6.7	126970	113.7
98	"Gladiator"	56.565	true	103000000	"tt0172495"	"en"	"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."	"/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg"	"2000-05-04"	465361176	155	8.2	16038	8.5	1571347	172.0
99	"Todo sobre mi madre"	13.127	true	8272296	"tt0185125"	"es"	"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun."	"/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg"	"1999-04-16"	67872296	101	7.7	1581	7.8	101203	129.0
100	"Lock, Stock and Two Smoking Barrels"	10.551	true	1350000	"tt0120735"	"en"	"A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door."	"/8kSerJrhrJWKLk1LViesGcnrUPE.jpg"	"1998-08-28"	28356188	105	8.1	5769	8.1	604761	155.7
101	"Léon: The Professional"	59.808	true	16000000	"tt0110413"	"en"	"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."	"/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg"	"1994-09-14"	45284974	111	8.3	12855	8.5	1214668	169.9
